행정구역(시군구)별,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
진안군,24651,12584,12067,24664,12584,12080,24650,12582,12068
무주군,23375,11690,11685,23416,11714,11702,23389,11706,11683
장수군,21177,10643,10534,21145,10627,10518,21127,10620,10507
임실군,26398,13546,12852,26335,13512,12823,26274,13500,12774
순창군,26760,13139,13621,26823,13169,13654,26855,13196,13659
고창군,52205,25976,26229,52144,25945,26199,52042,25892,26150
부안군,50122,24908,25214,50020,24879,25141,49905,24817,25088
전라남도,1813872,913670,900202,1813439,913624,899815,1812475,913215,899260
목포시,215956,107353,108603,215591,107182,108409,215253,107044,108209
여수시,273917,139417,134500,273659,139340,134319,273367,139183,134184
순천시,278649,139060,139589,278709,139084,139625,278751,139099,139652
나주시,116842,58986,57856,116994,59072,57922,117072,59121,57951
광양시,152070,79487,72583,152044,79483,72561,152098,79516,72582
담양군,45655,23088,22567,45611,23064,22547,45599,23069,22530
곡성군,27007,13373,13634,27066,13429,13637,27110,13456,13654
구례군,24516,11957,12559,24480,11942,12538,24474,11933,12541
고흥군,61615,30040,31575,61618,30045,31573,61542,30022,31520
보성군,38257,18760,19497,38234,18759,19475,38147,18733,19414
화순군,61801,30550,31251,61743,30521,31222,61680,30467,31213
장흥군,35470,17303,18167,35419,17275,18144,35399,17282,18117
강진군,33015,16025,16990,32984,16022,16962,32969,16006,16963
해남군,65485,32645,32840,65414,32614,32800,65340,32573,32767
영암군,52491,27413,25078,52592,27465,25127,52616,27495,25121
무안군,90609,45526,45083,90671,45562,45109,90606,45557,45049
함평군,30770,15551,15219,30791,15573,15218,30733,15540,15193
영광군,52258,26137,26121,52274,26144,26130,52311,26147,26164
장성군,42948,22086,20862,42947,22093,20854,42859,22050,20809
완도군,47334,23893,23441,47310,23874,23436,47203,23824,23379
진도군,29363,14646,14717,29326,14622,14704,29265,14593,14672
신안군,37844,20374,17470,37962,20459,17503,38081,20505,17576
경상북도,2593210,1309056,1284154,2592205,1308840,1283365,2590726,1308195,1282531
포항시,494452,250619,243833,493914,250363,243551,493817,250317,243500
남구,226635,117439,109196,226446,117356,109090,226660,117473,109187
북구,267817,133180,134637,267468,133007,134461,267157,132844,134313
경주시,248794,124489,124305,248737,124477,124260,248726,124457,124269
김천시,139017,69805,69212,138964,69802,69162,138877,69782,69095
안동시,153993,76096,77897,153943,76105,77838,153843,76007,77836
구미시,407044,209642,197402,406976,209690,197286,406785,209669,197116
영주시,100847,50002,50845,100746,49955,50791,100610,49898,50712
영천시,100956,51379,49577,100965,51406,49559,100856,51374,49482
상주시,94684,46636,48048,94646,46623,48023,94596,46585,48011
문경시,69881,34402,35479,69769,34330,35439,69640,34261,35379
경산시,267717,134757,132960,267731,134765,132966,267528,134650,132878
군위군,23238,11941,11297,23245,11954,11291,23219,11945,11274
의성군,49954,24618,25336,50081,24707,25374,50143,24749,25394
청송군,24225,12158,12067,24206,12144,12062,24171,12142,12029
영양군,15912,7934,7978,15920,7939,7981,15901,7925,7976
영덕군,34515,16440,18075,34504,16423,18081,34418,16393,18025
청도군,41665,20563,21102,41661,20566,21095,41612,20550,21062
고령군,30320,15589,14731,30315,15592,14723,30270,15561,14709
성주군,42556,22166,20390,42542,22160,20382,42501,22151,20350
칠곡군,111894,58570,53324,111725,58486,53239,111593,58430,53163
예천군,55651,27353,28298,55670,27389,28281,55670,27389,28281
봉화군,30037,15264,14773,30039,15278,14761,30019,15272,14747
울진군,46824,23618,23206,46850,23657,23193,46846,23646,23200
울릉군,9034,5015,4019,9056,5029,4027,9085,5042,4043
경상남도,3269228,1646280,1622948,3267369,1645335,1622034,3265018,1644124,1620894
창원시,1017273,515053,502220,1016333,514512,501821,1015361,513976,501385
의창구,215217,109450,105767,215220,109442,105778,215009,109333,105676
성산구,247396,126234,121162,247093,126060,121033,246893,125980,120913
마산합포구,178781,88893,89888,178598,88793,89805,178455,88694,89761
마산회원구,182699,91154,91545,182443,91002,91441,182193,90865,91328
진해구,193180,99322,93858,192979,99215,93764,192811,99104,93707
진주시,342923,169482,173441,342744,169402,173342,342619,169309,173310
통영시,121903,61225,60678,121697,61153,60544,121491,61032,60459
사천시,109068,55128,53940,109090,55137,53953,109002,55119,53883
사천남양출장소,0,0,0,0,0,0,0,0,0
김해시,533541,269766,263775,533292,269615,263677,533042,269481,263561
장유출장소,0,0,0,0,0,0,0,0,0
밀양시,102707,50580,52127,102720,50596,52124,102685,50605,52080
거제시,235350,123130,112220,235223,123059,112164,234926,122903,112023
양산시,353816,177137,176679,354004,177216,176788,354265,177315,176950
양산시웅상출장소,0,0,0,0,0,0,0,0,0
의령군,25898,12853,13045,25861,12832,13029,25817,12824,12993
함안군,61100,31250,29850,61011,31210,29801,60910,31162,29748
창녕군,57998,28982,29016,57928,28947,28981,57831,28913,28918
고성군,50115,25197,24918,50025,25179,24846,49912,25128,24784
남해군,41425,20158,21267,41394,20137,21257,41298,20101,21197
하동군,42235,21146,21089,42194,21129,21065,42171,21123,21048
산청군,34109,16918,17191,34181,16961,17220,34145,16937,17208
함양군,37386,18137,19249,37369,18132,19237,37359,18121,19238
거창군,60462,29741,30721,60435,29733,30702,60388,29713,30675
합천군,41919,20397,21522,41868,20385,21483,41796,20362,21434
제주특별자치도,677031,339056,337975,677115,339086,338029,677057,338995,338062
제주시,492593,246197,246396,492635,246218,246417,492706,246228,246478
서귀포시,184438,92859,91579,184480,92868,91612,184351,92767,91584
